Unnamed: 0,country,designation,points,price,title,variety,winery
547,US,Stolpman Vineyard,93,150.0,Turiya 2011 Stolpman Vineyard Sangiovese (Ballard Canyon),Sangiovese,Turiya
548,US,Thomas Road,93,85.0,Iron Horse 2013 Thomas Road Pinot Noir (Green Valley),Pinot Noir,Iron Horse
549,Italy,Resa 56,93,90.0,Brandini 2011 Resa 56  (Barolo),Nebbiolo,Brandini
550,US,Estate Reserve,93,35.0,Artesa 2014 Estate Reserve Chardonnay (Carneros),Chardonnay,Artesa
551,US,Pagani Ranch,93,46.0,Carlisle 2013 Pagani Ranch Zinfandel (Sonoma Valley),Zinfandel,Carlisle
552,France,,93,20.0,Château Vignelaure 2015 Rosé (Coteaux d'Aix-en-Provence),Rosé,Château Vignelaure
553,Argentina,Winemaker's Selection Reserva,93,42.0,Clos d'Argentine 2013 Winemaker's Selection Reserva Malbec (Mendoza),Malbec,Clos d'Argentine
554,France,Mas Negrel Cadenet,93,40.0,Mas de Cadenet 2015 Mas Negrel Cadenet Rosé (Côtes de Provence Sainte-Victoire),Rosé,Mas de Cadenet
555,US,,93,75.0,Passing Time 2013 Cabernet Sauvignon (Horse Heaven Hills),Cabernet Sauvignon,Passing Time
556,Spain,Gran Resalte,93,88.0,Resalte 2010 Gran Resalte  (Ribera del Duero),Tempranillo,Resalte
557,US,Bien Nacido Vineyard,93,40.0,Sanctuary 2013 Bien Nacido Vineyard Pinot Noir (Santa Maria Valley),Pinot Noir,Sanctuary
558,US,Enigma,93,25.0,Terre Rouge 2014 Enigma White (Sierra Foothills),White Blend,Terre Rouge
559,US,Hail Mary,93,48.0,Limerick Lane 2013 Hail Mary Syrah-Grenache (Russian River Valley),Syrah-Grenache,Limerick Lane
560,US,Headpruned Block,93,45.0,Limerick Lane 2013 Headpruned Block Syrah (Russian River Valley),Syrah,Limerick Lane
561,US,Durell Vineyard,93,50.0,Loring Wine Company 2014 Durell Vineyard Pinot Noir (Sonoma Coast),Pinot Noir,Loring Wine Company
562,US,,93,65.0,Eighty Four 2010 Petite Sirah (Napa Valley),Petite Sirah,Eighty Four
563,US,Rancho Santa Rosa Vineyard,93,48.0,Flying Goat Cellars 2012 Rancho Santa Rosa Vineyard Pinot Noir (Sta. Rita Hills),Pinot Noir,Flying Goat Cellars
564,US,Fire Light,93,62.0,Four Lanterns 2013 Fire Light Syrah (Paso Robles),Syrah,Four Lanterns
565,US,Shapeshifter,93,100.0,Turiya 2011 Shapeshifter Red (Central Coast),Red Blend,Turiya
566,US,If Six Was Nine Reserve,93,53.0,World's End 2013 If Six Was Nine Reserve Cabernet Sauvignon (Napa Valley),Cabernet Sauvignon,World's End
567,Argentina,Benegas Lynch La Encerrada Estate Vineyard,93,55.0,Benegas 2011 Benegas Lynch La Encerrada Estate Vineyard Malbec (Mendoza),Malbec,Benegas
568,US,Reserve,93,70.0,W.H. Smith 2012 Reserve Cabernet Sauvignon (Howell Mountain),Cabernet Sauvignon,W.H. Smith
569,US,La Reyna Blanca Vineyard,89,38.0,Alleromb 2014 La Reyna Blanca Vineyard Chardonnay (Columbia Valley (WA)),Chardonnay,Alleromb
570,US,Art Den Hoed Vineyard,89,50.0,Ardor 2015 Art Den Hoed Vineyard Syrah (Yakima Valley),Syrah,Ardor
571,US,,89,25.0,Berryessa Gap 2015 Albariño (Yolo County),Albariño,Berryessa Gap
572,Italy,,89,15.0,Brezza 2015  Dolcetto d'Alba,Dolcetto,Brezza
573,France,,89,14.0,Château Bois Chantant 2015  Bordeaux Supérieur,Bordeaux-style Red Blend,Château Bois Chantant
574,France,Tradition,89,11.0,Château de Campuget 2016 Tradition Rosé (Costières de Nîmes),Rosé,Château de Campuget
575,France,,89,14.0,Château de l'Aubrade 2015  Bordeaux Supérieur,Bordeaux-style Red Blend,Château de l'Aubrade
576,France,Les Terrasses de Pressac,89,37.0,Château de Pressac 2014 Les Terrasses de Pressac  (Saint-Émilion),Bordeaux-style Red Blend,Château de Pressac
577,US,Pinot Noir,89,17.0,Chateau Lafayette Reneau 2016 Pinot Noir Rosé (Finger Lakes),Rosé,Chateau Lafayette Reneau
578,France,Château Jean de Bel Air,89,15.0,Château Maison Noble Saint Martin 2015 Château Jean de Bel Air  (Bordeaux),Bordeaux-style Red Blend,Château Maison Noble Saint Martin
579,US,,89,13.0,Cupcake 2016 Rosé (California),Rosé,Cupcake
580,US,,89,18.0,Raconteur 2016 White (Washington),White Blend,Raconteur
581,US,Orange Oak Ridge Vineyard,89,26.0,Savage Grace 2016 Orange Oak Ridge Vineyard Gewürztraminer (Columbia Gorge (WA)),Gewürztraminer,Savage Grace
582,US,,89,18.0,Seven Falls 2013 Merlot (Wahluke Slope),Merlot,Seven Falls
583,US,Unfiltered Estate,89,32.0,Silvertip 2014 Unfiltered Estate Pinot Noir (Santa Cruz Mountains),Pinot Noir,Silvertip
584,Austria,,89,18.0,Steininger 2016 Grüner Veltliner (Kamptal),Grüner Veltliner,Steininger
585,US,StevensSteel,89,25.0,Stevens 2016 StevensSteel Chardonnay (Yakima Valley),Chardonnay,Stevens
586,Austria,Classic,89,18.0,Strauss 2016 Classic Pinot Blanc (Steiermark),Pinot Blanc,Strauss
587,Austria,Classic,89,20.0,Strauss 2016 Classic Sauvignon Blanc (Südsteiermark),Sauvignon Blanc,Strauss
588,US,,89,18.0,Trinity River 2015 Chardonnay,Chardonnay,Trinity River
589,Austria,,89,,Umathum 2015 Zweigelt (Burgenland),Zweigelt,Umathum
590,US,,89,17.0,Vintage Cowboy 2016 Chardonnay (Paso Robles),Chardonnay,Vintage Cowboy
591,Austria,GV,89,13.0,Winzer Krems 2016 GV Grüner Veltliner (Niederösterreich),Grüner Veltliner,Winzer Krems
592,US,Summit View Vineyard,89,41.0,Kontos 2014 Summit View Vineyard Malbec (Walla Walla Valley (WA)),Malbec,Kontos
593,Austria,,89,16.0,Landhaus Mayer 2016 Riesling (Niederösterreich),Riesling,Landhaus Mayer
594,France,La Decelle,89,20.0,Lavau 2015 La Decelle Red,Rhône-style Red Blend,Lavau
595,US,,89,30.0,L'Ecole No. 41 2014 Cabernet Sauvignon (Columbia Valley (WA)),Cabernet Sauvignon,L'Ecole No. 41
596,Greece,,89,13.0,Lyrarakis 2015 Vilana (Crete),Vilana,Lyrarakis
597,Austria,Furth-Palt,89,24.0,Malat 2016 Furth-Palt Riesling (Kremstal),Riesling,Malat
598,US,Starlight,89,36.0,Midnight 2013 Starlight Sangiovese (Paso Robles),Sangiovese,Midnight
599,US,,87,20.0,Michael Pozzan 2010 Cabernet Sauvignon (Alexander Valley),Cabernet Sauvignon,Michael Pozzan
600,Italy,Le Marne,87,19.0,Michele Chiarlo 2011 Le Marne  (Gavi),Cortese,Michele Chiarlo
602,US,,87,69.0,Paoletti 2010 Cabernet Sauvignon (Oak Knoll District),Cabernet Sauvignon,Paoletti
603,US,,87,36.0,Peconic Bay Winery 2010 Cabernet Franc (North Fork of Long Island),Cabernet Franc,Peconic Bay Winery
604,Spain,Reserva 1423,87,35.0,Príncipe de Viana 2008 Reserva 1423 Red (Navarra),Red Blend,Príncipe de Viana
605,Argentina,Gran Reserve Winemaker's Selection,87,30.0,Proemio 2009 Gran Reserve Winemaker's Selection Red (Mendoza),Red Blend,Proemio
606,US,Bomba,87,25.0,Quady North 2011 Bomba Grenache (Rogue Valley),Grenache,Quady North
607,US,Steel-Ox,87,25.0,Quady North 2011 Steel-Ox Viognier (Rogue Valley),Viognier,Quady North
608,Portugal,Verdelho and Sauvignon Blanc,87,15.0,Quinta do Portal 2012 Verdelho and Sauvignon Blanc White (Douro),Portuguese White,Quinta do Portal
609,US,Estate,87,20.0,Raptor Ridge 2012 Estate Grüner Veltliner (Chehalem Mountains),Grüner Veltliner,Raptor Ridge
610,US,Charlotte's Home Estate,87,17.0,Rodney Strong 2012 Charlotte's Home Estate Sauvignon Blanc (Northern Sonoma),Sauvignon Blanc,Rodney Strong
611,US,Toyon Farm,87,54.0,Saintsbury 2010 Toyon Farm Pinot Noir (Carneros),Pinot Noir,Saintsbury
612,US,Caverio,87,40.0,Sextant 2010 Caverio G-S-M (Paso Robles),G-S-M,Sextant
613,Portugal,Paço de São Lourenço,87,12.0,Solar de Pinheiro 2012 Paço de São Lourenço White (Vinho Verde),Portuguese White,Solar de Pinheiro
614,Italy,,87,19.0,Suavia 2011  Soave Classico,Garganega,Suavia
615,Argentina,,87,11.0,Tilia 2011 Malbec (Mendoza),Malbec,Tilia
616,US,Dutton Ranch,87,45.0,B Cellars 2011 Dutton Ranch Chardonnay (Russian River Valley),Chardonnay,B Cellars
617,Italy,Millesimato Extra Dry,87,25.0,Bacio della Luna 2012 Millesimato Extra Dry  (Conegliano Valdobbiadene Prosecco Superiore),Glera,Bacio della Luna
618,US,Unfiltered,87,35.0,Barlow 2009 Unfiltered Merlot (Calistoga),Merlot,Barlow
619,Italy,Brut,87,16.0,Borgo Maragliano NV Brut Chardonnay (Piedmont),Chardonnay,Borgo Maragliano
620,Italy,Dry,87,20.0,Bortolotti NV Dry  (Conegliano Valdobbiadene Prosecco Superiore),Glera,Bortolotti
621,US,,87,28.0,Claiborne & Churchill 2010 Pinot Noir (Edna Valley),Pinot Noir,Claiborne & Churchill
622,US,Sidewinder,87,25.0,Coiled 2009 Sidewinder Red,Red Blend,Coiled
623,US,Black Mamba,87,28.0,Coiled 2010 Black Mamba Red,Red Blend,Coiled
624,US,Koos-Koos-Kia Colter's Creek Vineyard,87,20.0,Colter's Creek 2010 Koos-Koos-Kia Colter's Creek Vineyard Red (Idaho),Red Blend,Colter's Creek
625,Italy,,87,15.0,Corte Falco 2010  Soave,Garganega,Corte Falco
626,Italy,Memorio Creari,87,23.0,Domenico Cavazza 2008 Memorio Creari  (Gambellara Classico),Garganega,Domenico Cavazza
627,Italy,Sivoy,87,19.0,Cascina La Ghersa 2009 Sivoy White (Monferrato),White Blend,Cascina La Ghersa
628,Australia,Alluvial Fans,92,35.0,Kangarilla Road 2012 Alluvial Fans Shiraz (McLaren Vale),Shiraz,Kangarilla Road
629,US,Pinpoint Extreme,92,75.0,Walt 2013 Pinpoint Extreme Pinot Noir (Russian River Valley),Pinot Noir,Walt
630,US,Aliette,92,48.0,WillaKenzie Estate 2013 Aliette Pinot Noir,Pinot Noir,WillaKenzie Estate
631,France,Vendanges Tardives,92,54.0,Willm 2011 Vendanges Tardives Gewurztraminer (Alsace),Gewürztraminer,Willm
632,France,Wineck-Schlossberg Grand Cru,92,34.0,Jean-Marc Bernhard 2013 Wineck-Schlossberg Grand Cru Riesling (Alsace),Riesling,Jean-Marc Bernhard
633,Australia,,92,60.0,Yeringberg 2013 Viognier (Yarra Valley),Viognier,Yeringberg
634,US,Tina's Block Maple Vineyard,92,48.0,Armida 2013 Tina's Block Maple Vineyard Zinfandel (Dry Creek Valley),Zinfandel,Armida
635,Spain,Capellanía,92,28.0,Marqués de Murrieta 2010 Capellanía Viura (Rioja),Viura,Marqués de Murrieta
636,Australia,The Factor,92,125.0,Torbreck 2010 The Factor Shiraz (Barossa Valley),Shiraz,Torbreck
637,France,Altenberg de Bergheim Grand Cru,92,45.0,Biecher & Schaal 2014 Altenberg de Bergheim Grand Cru White (Alsace),Alsace white blend,Biecher & Schaal
638,France,Kitterlé Grand Cru,92,36.0,Domaines Schlumberger 2010 Kitterlé Grand Cru Riesling (Alsace),Riesling,Domaines Schlumberger
639,France,Kessler Grand Cru,92,30.0,Domaines Schlumberger 2012 Kessler Grand Cru Pinot Gris (Alsace),Pinot Gris,Domaines Schlumberger
640,US,Tinaquaic Vineyard,92,37.0,Foxen 2014 Tinaquaic Vineyard Chardonnay (Santa Maria Valley),Chardonnay,Foxen
641,US,,92,25.0,Les Belles Collines 2014 Pinot Gris (California),Pinot Gris,Les Belles Collines
642,Portugal,Monte de Carrapatelo Colheita Seleccionada Tinto,92,30.0,Luis Duarte 2013 Monte de Carrapatelo Colheita Seleccionada Tinto Red (Alentejano),Portuguese Red,Luis Duarte
643,US,,92,60.0,Melhill 2012 Chardonnay (Sonoma Coast),Chardonnay,Melhill
644,US,Estate Grown,92,40.0,Niner 2013 Estate Grown Cabernet Sauvignon (Paso Robles),Cabernet Sauvignon,Niner
645,US,Freedom Hill Vineyard,92,50.0,Purple Hands 2014 Freedom Hill Vineyard Pinot Noir (Willamette Valley),Pinot Noir,Purple Hands
646,Portugal,Lagoalva Barrel Selection Tinto,92,23.0,Quinta da Lagoalva de Cima 2013 Lagoalva Barrel Selection Tinto Red (Tejo),Portuguese Red,Quinta da Lagoalva de Cima
647,Portugal,,92,80.0,Quinta do Monte Xisto 2013 Red (Douro),Portuguese Red,Quinta do Monte Xisto
648,Germany,Brauneberger Juffer-Sonnenuhr Spätlese Grosse Lage,92,34.0,Reichsgraf von Kesselstatt 2014 Brauneberger Juffer-Sonnenuhr Spätlese Grosse Lage Riesling (Mosel),Riesling,Reichsgraf von Kesselstatt
649,US,Three Twins Vineyard Fallen Feather,92,75.0,Stone The Crows 2013 Three Twins Vineyard Fallen Feather Cabernet Sauvignon (Napa Valley),Cabernet Sauvignon,Stone The Crows
650,Italy,,92,24.0,Sturm 2014 Sauvignon (Collio),Sauvignon,Sturm
651,France,Pfersigberg Grand Cru,92,39.0,Kuentz-Bas 2014 Pfersigberg Grand Cru Riesling (Alsace),Riesling,Kuentz-Bas
652,Australia,,92,21.0,Plantagenet 2014 Riesling (Great Southern),Riesling,Plantagenet
653,US,,92,35.0,Scratch 2013 Grenache (Arroyo Seco),Grenache,Scratch
654,France,Rosacker Grand Cru,92,43.0,Sipp Mack 2014 Rosacker Grand Cru Riesling (Alsace),Riesling,Sipp Mack
655,US,Lodi Native Marian's Vineyard,92,30.0,St. Amant 2013 Lodi Native Marian's Vineyard Zinfandel (Mokelumne River),Zinfandel,St. Amant
656,US,Nancy's,92,70.0,Stoller 2013 Nancy's Pinot Noir (Dundee Hills),Pinot Noir,Stoller
657,South Africa,Night Sky,92,50.0,Fable Mountain 2011 Night Sky Red (Coastal Region),Rhône-style Red Blend,Fable Mountain
658,US,,90,40.0,Vine Cliff 2013 Chardonnay (Los Carneros),Chardonnay,Vine Cliff
659,US,,90,45.0,Va Piano 2012 Cabernet Sauvignon (Walla Walla Valley (WA)),Cabernet Sauvignon,Va Piano
660,US,Le Roi Soleil,90,80.0,Y Rousseau 2012 Le Roi Soleil Cabernet Sauvignon (Mount Veeder),Cabernet Sauvignon,Y Rousseau
661,US,,90,15.0,Monte Volpe 2013 Pinot Grigio (Mendocino),Pinot Grigio,Monte Volpe
662,Italy,Ornato,90,65.0,Palladino 2011 Ornato  (Barolo),Nebbiolo,Palladino
663,US,Rockpile Vineyard,90,65.0,Paradise Ridge 2012 Rockpile Vineyard Cabernet Sauvignon (Rockpile),Cabernet Sauvignon,Paradise Ridge
664,Italy,Siri d'Jermu,90,35.0,Pecchenino 2013 Siri d'Jermu  (Dogliani Superiore),Dolcetto,Pecchenino
665,Italy,Costa Bruna,90,25.0,Poderi Colla 2013 Costa Bruna  (Barbera d'Alba),Barbera,Poderi Colla
666,US,,90,20.0,Poet's Leap 2014 Riesling (Columbia Valley (WA)),Riesling,Poet's Leap
667,Spain,Soplo,90,15.0,Rafael Cambra 2012 Soplo Garnacha Tintorera (Valencia),Garnacha Tintorera,Rafael Cambra
668,US,Virgin Berry,90,26.0,Raphael 2014 Virgin Berry Riesling (North Fork of Long Island),Riesling,Raphael
669,US,McClellan Estate Vineyard,90,30.0,Seven Hills 2013 McClellan Estate Vineyard Malbec (Walla Walla Valley (WA)),Malbec,Seven Hills
670,US,Eco Made with Organic Grapes,90,13.0,Snoqualmie 2013 Eco Made with Organic Grapes Cabernet Sauvignon (Columbia Valley (WA)),Cabernet Sauvignon,Snoqualmie
671,US,,90,45.0,Stags' Leap Winery 2012 Petite Sirah (Napa Valley),Petite Sirah,Stags' Leap Winery
672,US,Dry,90,26.0,The Grapes of Roth 2014 Dry Riesling (Long Island),Riesling,The Grapes of Roth
673,US,Charles Vineyard,90,44.0,The Withers Winery 2013 Charles Vineyard Pinot Noir (Anderson Valley),Pinot Noir,The Withers Winery
674,US,Estate,90,38.0,Truchard 2012 Estate Cabernet Sauvignon (Carneros),Cabernet Sauvignon,Truchard
675,US,,90,28.0,Acacia 2013 Pinot Noir (Carneros),Pinot Noir,Acacia
676,US,Dijon Clone,90,32.0,Array 2012 Dijon Clone Chardonnay (Yakima Valley),Chardonnay,Array
677,Italy,Smeriglio Riserva,90,50.0,Baracchi Riccardo 2011 Smeriglio Riserva Syrah (Cortona),Syrah,Baracchi Riccardo
678,Italy,Smeriglio,90,35.0,Baracchi Riccardo 2012 Smeriglio Syrah (Cortona),Syrah,Baracchi Riccardo
679,US,Sagemoor,90,35.0,Barrister 2012 Sagemoor Cabernet Sauvignon (Columbia Valley (WA)),Cabernet Sauvignon,Barrister
680,Spain,Selección Crianza,90,25.0,Bodegas Berceo 2011 Selección Crianza  (Rioja),Tempranillo Blend,Bodegas Berceo
681,US,ALX,90,42.0,Bunnell 2011 ALX Syrah (Columbia Valley (WA)),Syrah,Bunnell
682,Italy,Metodo Classico,90,45.0,Castello di Neive 2011 Metodo Classico Pinot Nero (Piemonte),Pinot Nero,Castello di Neive
683,Italy,Cignale,90,70.0,Castello di Querceto 2010 Cignale Red (Colli della Toscana Centrale),Red Blend,Castello di Querceto
684,US,Canoe Ridge Vineyard,90,30.0,Chateau Ste. Michelle 2012 Canoe Ridge Vineyard Cabernet Sauvignon (Horse Heaven Hills),Cabernet Sauvignon,Chateau Ste. Michelle
685,US,Emmaline Ann Vineyard,90,75.0,Cobb 2012 Emmaline Ann Vineyard Pinot Noir (Sonoma Coast),Pinot Noir,Cobb
686,Italy,Acclivi,90,53.0,Comm. G. B. Burlotto 2011 Acclivi  (Barolo),Nebbiolo,Comm. G. B. Burlotto
687,US,Gravel Ridge Vineyard,90,29.0,Cooper-Garrod 2012 Gravel Ridge Vineyard Chardonnay (Santa Cruz Mountains),Chardonnay,Cooper-Garrod
688,US,Reserve 34,91,90.0,Mosquito Fleet 2011 Reserve 34 Cabernet Sauvignon (Red Mountain),Cabernet Sauvignon,Mosquito Fleet
689,US,Quattro Santa Barbara Highlands Vineyard,91,35.0,Nadia 2012 Quattro Santa Barbara Highlands Vineyard Red (Santa Barbara County),Red Blend,Nadia
690,Austria,Nit'ana,91,35.0,Nittnaus Hans und Christine 2013 Nit'ana Red (Burgenland),Red Blend,Nittnaus Hans und Christine
691,US,Ghielmetti Vineyard Micro-lot Reserve,91,50.0,Nottingham Cellars 2012 Ghielmetti Vineyard Micro-lot Reserve Malbec (Livermore Valley),Malbec,Nottingham Cellars
692,Italy,Capatosta,91,35.0,Poggio Argentiera 2012 Capatosta  (Morellino di Scansano),Red Blend,Poggio Argentiera
693,US,,91,65.0,Pride Mountain 2012 Cabernet Franc (Sonoma County),Cabernet Franc,Pride Mountain
694,South Africa,Reserve,91,50.0,Reyneke 2013 Reserve Sauvignon Blanc (Stellenbosch),Sauvignon Blanc,Reyneke
695,Italy,Riserva Ducale Oro Gran Selezione,91,43.0,Ruffino 2010 Riserva Ducale Oro Gran Selezione  (Chianti Classico),Red Blend,Ruffino
696,New Zealand,Pioneer Block 20 Dillons Point Cash Block,91,28.0,Saint Clair 2014 Pioneer Block 20 Dillons Point Cash Block Sauvignon Blanc (Marlborough),Sauvignon Blanc,Saint Clair
697,Austria,von Gösing,91,,Soellner 2014 von Gösing Roter Veltliner (Wagram),Roter Veltliner,Soellner
698,US,Little Bear Creek,91,20.0,Woodinville Wine Cellars 2012 Little Bear Creek Red (Columbia Valley (WA)),Bordeaux-style Red Blend,Woodinville Wine Cellars
699,South Africa,Estate Wine,91,40.0,Kanonkop 2012 Estate Wine Pinotage (Simonsberg-Stellenbosch),Pinotage,Kanonkop
700,Argentina,,91,30.0,El Enemigo 2012 Bonarda (Mendoza),Bonarda,El Enemigo
701,France,Les Clans,91,65.0,Château d'Esclans 2013 Les Clans Rosé (Côtes de Provence),Rosé,Château d'Esclans
702,France,,91,17.0,Château Riotor 2014 Rosé (Côtes de Provence),Rosé,Château Riotor
703,France,,91,,Château Sainte Marguerite 2014 Rosé (Côtes de Provence),Rosé,Château Sainte Marguerite
704,France,,91,20.0,Château Vignelaure 2014 Rosé (Coteaux d'Aix-en-Provence),Rosé,Château Vignelaure
705,New Zealand,,91,28.0,Cloudy Bay 2014 Sauvignon Blanc (Marlborough),Sauvignon Blanc,Cloudy Bay
706,France,TwoB,91,20.0,Domaine de la Bastide Blanche 2014 TwoB Rosé (Côtes de Provence),Rosé,Domaine de la Bastide Blanche
707,France,L'Esprit de Provence,91,20.0,Domaine du Grand Cros 2014 L'Esprit de Provence Rosé (Côtes de Provence),Rosé,Domaine du Grand Cros
708,France,VieVité Extraordinaire,91,25.0,Domaine Sainte-Marie 2014 VieVité Extraordinaire Rosé (Côtes de Provence),Rosé,Domaine Sainte-Marie
709,US,DCV2 Estate Four Clones Vineyard,91,38.0,Dry Creek Vineyard 2012 DCV2 Estate Four Clones Vineyard Zinfandel (Dry Creek Valley),Zinfandel,Dry Creek Vineyard
710,New Zealand,,91,120.0,Dry River 2013 Pinot Noir (Martinborough),Pinot Noir,Dry River
711,US,Cohen Vineyard Dutton Ranch,91,23.0,Dutton Estate 2013 Cohen Vineyard Dutton Ranch Sauvignon Blanc (Russian River Valley),Sauvignon Blanc,Dutton Estate
712,US,Keefer Ranch,91,48.0,Failla 2013 Keefer Ranch Pinot Noir (Russian River Valley),Pinot Noir,Failla
713,US,Dichotomy,91,32.0,Friedeman 2013 Dichotomy Pinot Noir (Russian River Valley),Pinot Noir,Friedeman
714,New Zealand,Bannockburn,91,50.0,Akarua 2012 Bannockburn Pinot Noir (Central Otago),Pinot Noir,Akarua
715,Argentina,Trisagio Malbec-Petit Verdot-Tannat,91,28.0,Benvenuto de la Serna 2010 Trisagio Malbec-Petit Verdot-Tannat Red (Valle de Uco),Red Blend,Benvenuto de la Serna
716,New Zealand,Unravelled,91,30.0,Carrick 2013 Unravelled Pinot Noir (Central Otago),Pinot Noir,Carrick
717,France,No. 5,91,25.0,JCB 2014 No. 5 Rosé (Côtes de Provence),Rosé,JCB
718,Portugal,Bote Chardonnay-Fernão Pires-Vital,85,8.0,Casca Wines 2015 Bote Chardonnay-Fernão Pires-Vital White (Lisboa),Portuguese White,Casca Wines
719,France,Grande Réserve du Président,85,15.0,Cave de Viré 2015 Grande Réserve du Président  (Mâcon-Villages),Chardonnay,Cave de Viré
720,Portugal,,85,22.0,Cortes de Cima 2015 Rosé (Alentejano),Rosé,Cortes de Cima
721,Argentina,,85,14.0,Domaine Bousquet 2015 Cabernet Sauvignon (Tupungato),Cabernet Sauvignon,Domaine Bousquet
722,Argentina,,85,25.0,Mendel 2015 Semillon (Mendoza),Sémillon,Mendel
723,Portugal,Santola,85,8.0,Messias 2015 Santola White (Vinho Verde),Portuguese White,Messias
724,US,Mont Sec Vineyards,85,14.0,Mont Sec 2015 Mont Sec Vineyards Viognier (Texas),Viognier,Mont Sec
725,Italy,Meriame,85,80.0,Paolo Manzone 2012 Meriame  (Barolo),Nebbiolo,Paolo Manzone
726,Portugal,Casa de Paços,85,9.0,Quinta de Paços 2015 Casa de Paços Rosé (Vinho Verde),Rosé,Quinta de Paços
727,US,,85,13.0,Rascal 2014 Pinot Noir (Oregon),Pinot Noir,Rascal
728,Argentina,Reserva,85,17.0,Terrazas de Los Andes 2015 Reserva Torrontés (Salta),Torrontés,Terrazas de Los Andes
729,Portugal,Audaz Branco,85,10.0,Herdade Grande 2015 Audaz Branco White (Alentejano),Portuguese White,Herdade Grande
730,US,,85,16.0,Jack's House 2013 Cabernet Sauvignon (California),Cabernet Sauvignon,Jack's House
731,France,Bin 068,85,10.0,Kiwi Cuvée 2014 Bin 068 Chardonnay (Vin de France),Chardonnay,Kiwi Cuvée
732,France,Mont-Avril,85,22.0,Domaine Michel Goubard 2014 Mont-Avril  (Côte Chalonnaise),Pinot Noir,Domaine Michel Goubard
733,France,,85,40.0,Domaine Poulleau Père et Fils 2014  Chorey-lès-Beaune,Pinot Noir,Domaine Poulleau Père et Fils
734,Argentina,,85,15.0,Durigutti 2014 Bonarda (Mendoza),Bonarda,Durigutti
735,Argentina,Don David Reserve,85,17.0,El Esteco 2015 Don David Reserve Torrontés (Calchaquí Valley),Torrontés,El Esteco
736,US,,85,32.0,Felten Cellars 2013 Tempranillo (Paso Robles),Tempranillo,Felten Cellars
737,Portugal,Casa Ermelinda Freitas Monte de Baía,85,12.0,Wines & Winemakers 2015 Casa Ermelinda Freitas Monte de Baía Rosé (Península de Setúbal),Rosé,Wines & Winemakers
738,Argentina,Henry Legarde,85,17.0,Lagarde 2013 Henry Legarde Malbec (Luján de Cuyo),Malbec,Lagarde
739,Italy,Riserva,85,102.0,Marchesi di Barolo 2009 Riserva  (Barolo),Nebbiolo,Marchesi di Barolo
740,US,,85,,McPherson 2014 Sangiovese (Texas),Sangiovese,McPherson
741,France,,85,10.0,Patriarche Père et Fils 2014  Coteaux Bourguignons,Pinot Noir-Gamay,Patriarche Père et Fils
742,France,,85,20.0,Paul Reitz 2014  Saint-Véran,Chardonnay,Paul Reitz
743,US,Treborce Vineyard,85,33.0,Pech Merle 2013 Treborce Vineyard Zinfandel (Dry Creek Valley),Zinfandel,Pech Merle
744,Italy,Campo Quadro Riserva,85,48.0,Punset 2011 Campo Quadro Riserva  (Barbaresco),Nebbiolo,Punset
745,Portugal,Pato Frio,85,12.0,Ribafreixo 2015 Pato Frio Antão Vaz (Alentejo),Antão Vaz,Ribafreixo
746,Australia,Classic,85,9.0,Jacob's Creek 2015 Classic Pinot Grigio (South Eastern Australia),Pinot Grigio,Jacob's Creek
747,US,,87,24.0,William Knuttel 2007 Pinot Noir (Sonoma Coast),Pinot Noir,William Knuttel
748,US,Fiori Delle Stelle Ice Wine,87,75.0,Casa Larga 2008 Fiori Delle Stelle Ice Wine Cabernet Franc (Finger Lakes),Cabernet Franc,Casa Larga
749,France,Baron de Hoen,87,12.0,Cave de Beblenheim 2009 Baron de Hoen Riesling (Alsace),Riesling,Cave de Beblenheim
750,US,Thornton Vineyard,87,45.0,De Loach 2008 Thornton Vineyard Pinot Noir (Sonoma Coast),Pinot Noir,De Loach
751,Chile,347 Vineyards,87,13.0,De Martino 2010 347 Vineyards Sauvignon Blanc (Central Valley),Sauvignon Blanc,De Martino
752,France,,87,,Dopff Au Moulin 2009 Gewürztraminer (Alsace),Gewürztraminer,Dopff Au Moulin
753,US,Effort,87,22.0,Center of Effort 2008 Effort Chardonnay (Edna Valley),Chardonnay,Center of Effort
754,Spain,,87,10.0,El Coto 2010 Viura (Rioja),Viura,El Coto
755,US,,87,18.0,Handley 2009 Gewürztraminer (Anderson Valley),Gewürztraminer,Handley
756,US,,87,35.0,Kuleto Estate 2008 Zinfandel (Napa Valley),Zinfandel,Kuleto Estate
757,US,Julia's Vineyard,87,36.0,Lane Tanner 2009 Julia's Vineyard Pinot Noir (Santa Maria Valley),Pinot Noir,Lane Tanner
758,US,,87,34.0,MacRostie 2008 Pinot Noir (Sonoma Coast),Pinot Noir,MacRostie
759,US,"Reserve, Vista del Monte Vineyard",87,70.0,"Monte De Oro 2006 Reserve, Vista del Monte Vineyard Syrah (Temecula Valley)",Syrah,Monte De Oro
760,US,Estate Grown,87,28.0,Mounts 2008 Estate Grown Syrah (Dry Creek Valley),Syrah,Mounts
761,Chile,Antu,87,19.0,Ninquén 2009 Antu Cabernet Sauvignon-Carmenère (Colchagua Valley),Cabernet Sauvignon-Carmenère,Ninquén
762,Spain,Solo,87,14.0,Oro de Castilla 2010 Solo Verdejo (Rueda),Verdejo,Oro de Castilla
